Year,Domestic,Industrial,Service,Total
2020,39275.8835664393 ,19524.4666493109 ,18461.7253384536 ,77262.0755542038 
2019,38395.0213145738 ,20546.8106300000 ,20986.4191785013 ,79928.2511230751 
2018,39507.2821553450 ,22171.9821136151 ,20418.6416996225 ,82097.9059685826 
2017,38445.5887596790 ,19532.6303980547 ,20002.3716996226 ,77980.5908573562 
2016,41145.2826936881 ,20290.1152986005 ,20275.2016996227 ,81710.5996919113 
2015,40296.5700000000 ,24061.4700000000 ,18739.7300000000 ,83097.7800000000 
2014,38680.0400000000 ,12776.4000000000 ,17199.2200000000 ,68655.6600000000 
2013,44890.5900000000 ,13096.9300000000 ,18633.8200000000 ,76621.3400000000 
2012,44441.0000000000 ,13662.4500000000 ,18256.6300000000 ,76360.0800000000 
2011,40882.6700000000 ,12996.0500000000 ,17040.0800000000 ,70918.8000000000 
2010,49410.3500000000 ,14037.3900000000 ,18473.2300000000 ,81920.9700000000 
2000,46851.1800000000 ,35352.0000000000 ,20330.6700000000 ,102533.8500000000 
1990,46851.1800000000 ,38658.4300000000 ,17874.4400000000 ,97288.3700000000 
